AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,CRM,CRM,CRM,CRM,CRM,MRNA,MRNA,MRNA,MRNA,MRNA,MSFT,MSFT,MSFT,MSFT,MSFT,NIO,NIO,NIO,NIO,NIO,NNDM,NNDM,NNDM,NNDM,NNDM,NVDA,NVDA,NVDA,NVDA,NVDA,PFE,PFE,PFE,PFE,PFE,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
174.65,175.57,172.8531,174.1699,25696142,1670.75,1672.26,1633.34,1639.42,3639233,159.0,159.1,155.08,157.99,3705819,17.25,18.39,17.1101,18.16,977815,107.0,107.0,105.53,106.06,16159849,7.95,8.59,7.8301,8.3866,32781506,0.86,0.86,0.7792,0.8151,439147,151.16,155.6,151.07,152.89,16140176,41.92,42.37,41.79,42.325,12707137,319.59,324.24,315.624,317.77,4744608
172.4,173.94,170.34,170.64,28233078,1625.02,1625.539,1592.91,1611.6058,4065241,155.96,157.06,153.36,154.74,3858632,17.95,18.0679,17.06,17.0673,510261,105.185,105.59,104.29,105.19,21525386,8.28,8.37,7.8,7.995,21343695,0.84,0.84,0.7801,0.799,216795,151.128,151.22,145.69,147.19,14512767,42.11,42.15,41.2075,41.655,18755385,313.3,314.7,303.0,307.5999,6189747
168.99,170.66,168.42,170.04,20428524,1586.0,1588.59,1566.756,1585.7397,5163140,152.91,156.48,152.71,156.45,2566665,17.1,18.15,17.1,17.95,670726,104.39,105.43,104.2603,105.42,16338977,8.0,8.0,7.28,7.655,20673565,0.83,0.83,0.78,0.8059,135572,144.71,148.6,144.13,147.84,10660171,41.53,42.14,41.49,42.125,19805022,306.98,307.445,298.5,305.34,5560662
171.05,171.21,169.25,169.43,17954651,1600.78,1609.29,1586.0,1591.8,2993984,158.2,161.5,157.57,159.91,6595234,17.99,18.6462,17.7507,18.13,537650,106.2,106.58,104.965,105.255,14633052,7.67,7.77,7.38,7.43,8960027,0.8102,0.88,0.8102,0.8211,201079,146.3,148.58,144.5,146.2564,11091307,42.28,42.31,41.51,41.68,14559104,311.6,318.6,310.5,313.02,6697977
170.1,171.0,169.7,170.7384,18989903,1603.99,1638.97,1598.88,1637.89,4397459,161.25,163.39,160.03,162.78,5082015,18.21,18.76,17.6,18.6544,712716,106.14,107.14,105.48,106.835,20510887,7.35,7.57,7.14,7.425,12562252,0.82,0.86,0.81,0.8299,282261,148.0,151.8,147.42,150.97,13141848,41.71,42.01,41.39,41.78,22287825,316.2,318.19,309.62,311.99,5151145
171.39,172.48,169.92,169.98,19353125,1647.0,1656.38,1637.1063,1640.3726,3144253,163.44,163.57,160.34,160.38,4225642,18.99,19.22,18.3,18.485,1276388,107.5,107.78,106.75,106.785,14473482,7.52,7.68,7.39,7.49,10302575,0.8653,0.909,0.86,0.86,889858,152.36,155.83,151.81,152.83,14245955,41.92,42.06,41.39,41.61,16757430,312.45,312.75,305.57,308.34,4918601
169.71,171.2615,169.38,170.98,18263570,1624.5,1637.9,1606.061,1623.8774,3678810,159.47,160.44,156.706,159.5649,4407234,18.64,19.96,18.63,19.66,1066387,106.31,107.29,105.66,106.96,17159054,7.7,7.78,7.42,7.465,12593261,0.831,0.87,0.83,0.8382,374697,152.84,155.665,151.1,154.41,14705840,41.7,42.12,41.5153,42.01,16421678,303.38,306.77,301.0,303.98,4875188
171.25,171.7,169.75,170.25,22555013,1627.86,1628.9099,1604.5,1607.5299,3972633,160.99,161.22,158.09,158.94,4605668,19.94,21.425,0.0,21.42,2019761,107.91,108.3,107.3624,108.13,25025029,7.55,7.64,7.255,7.41,13027121,0.842,0.842,0.842,0.842,100,162.95,163.87,156.42,157.321,35382303,42.38,42.51,41.4745,42.41,13322017,304.5,308.0,303.9,307.8181,3655601
169.71,171.44,169.49,170.8499,16672024,1601.0,1634.0,1600.56,1627.4731,3363526,159.66,161.48,159.14,160.57,3255800,21.51,21.513,20.05,20.82,1197789,107.79,108.66,107.78,108.13,15253556,7.4,7.43,7.21,7.24,8883509,0.85,0.88,0.826,0.8451,168583,156.91,159.89,156.14,156.57,12589192,42.24,42.86,42.185,42.57,16371212,306.56,311.5442,305.59,305.59,3928167
171.19,173.32,170.99,172.09,22439817,1630.0,1634.93,1610.12,1622.62,3099413,160.33,161.49,157.21,158.46,3882724,21.12,21.2399,19.13,19.89,1145570,107.86,107.94,106.29,107.2,17187539,7.26,7.77,7.26,7.615,21102314,0.85,0.8855,0.83,0.83,129313,157.82,161.26,157.37,158.57,12289194,42.53,42.56,41.93,42.2111,16007572,304.41,306.3,299.0,302.53,6413092
171.8,172.37,170.3,171.14,15647117,1619.85,1623.56,1600.91,1619.9,3294305,157.7,160.48,157.3,159.67,3855032,19.74,19.98,18.88,19.38,805619,106.9,109.48,106.87,109.44,25915604,7.7,7.73,7.43,7.63,7569016,0.869,0.869,0.82,0.825,137672,159.06,160.05,155.18,155.81,10001513,42.02,42.32,41.86,42.15,12917920,301.81,303.2399,290.5,291.24,8521093
171.58,173.0,171.38,172.97,15245361,1623.5,1634.94,1621.17,1631.19,2590256,160.47,161.71,160.2,161.28,3243626,19.35,20.04,19.35,19.87,552887,110.05,111.2,109.82,110.965,23375592,7.92,8.22,7.75,8.175,25089269,0.83,0.8341,0.81,0.8205,37898,157.86,159.95,157.31,159.22,9065192,42.3,43.125,42.22,42.965,17914446,294.49,296.5,292.1,294.69,5459428
174.16,175.87,173.95,174.26,19540227,1641.45,1654.6,1630.3873,1633.0,2858663,162.51,163.06,160.93,161.34,4615384,20.54,22.3,19.83,21.64,1913025,111.76,112.18,111.26,111.59,20242749,9.04,9.09,8.6,9.0,46550528,0.9,0.9089,0.8452,0.87,382009,162.56,165.28,158.34,158.69,14556056,43.04,43.365,42.94,43.06,16914326,297.91,302.9044,297.0005,298.7,5893761
173.71,175.3,173.1732,174.35,14716104,1625.98,1639.99,1616.1335,1636.33,2387059,160.81,163.38,159.87,163.0,3156129,21.6,24.4,21.56,23.68,2504868,111.26,113.24,111.17,112.36,18277715,9.16,10.64,8.82,9.78,103471973,0.9,0.9,0.83,0.858,536370,158.55,160.76,155.75,157.14,11625133,42.96,43.23,42.8,43.0,11288912,292.22,302.01,288.7701,297.81,8096676
173.26,175.0,172.73,174.88,22914417,1628.18,1641.81,1615.1,1641.09,2855043,162.29,163.53,160.5,163.15,3467227,23.37,23.83,21.53,22.1,1532765,111.69,112.36,110.88,112.19,17875661,10.15,10.25,9.33,9.83,51411514,0.86,0.86,0.832,0.8499,165643,156.6,157.59,153.11,155.4,11434436,42.98,43.22,42.81,42.93,11789271,301.42,316.295,300.55,314.795,10618216
174.32,174.91,172.92,173.2,19815729,1635.25,1651.77,1633.83,1639.79,2439847,163.0,164.6,162.17,163.64,4747198,22.45,23.03,22.05,22.53,508464,112.04,112.88,111.73,112.05,19840129,9.85,9.93,9.46,9.55,25344821,0.86,0.86,0.8301,0.84,162393,155.0,155.9,153.36,154.29,7290316,42.95,43.78,42.2,43.33,21564763,318.92,320.0,310.81,319.81,8869984
174.28,175.15,172.89,174.97,20830861,1653.74,1674.26,1651.0,1671.26,4274122,165.15,166.15,161.75,164.5,6108847,23.09,23.39,21.64,22.31,861673,112.89,113.02,111.665,112.52,17168519,9.82,10.2,9.73,10.05,31316097,0.85,0.85,0.825,0.84,141474,156.27,158.1489,153.92,156.44,7968440,43.61,43.79,43.29,43.37,20600119,306.88,307.13,291.9,294.66,21624319
175.69,177.75,173.97,175.86,24195978,1685.0,1709.43,1674.36,1696.16,5635905,165.56,165.79,155.42,158.6,14864352,22.47,22.8,20.52,21.16,1109718,113.02,113.25,110.8,112.28,22345599,10.32,10.37,9.15,9.82,41764557,0.82,0.84,0.82,0.83,196541,158.0,158.92,154.5,156.8,9610154,43.44,43.59,42.88,43.09,16952881,298.12,298.78,282.78,285.3,16306926
175.94,176.0,174.54,175.51,15413946,1702.95,1707.8,1689.01,1691.81,3441803,159.92,160.88,154.8,156.9752,14136374,21.18,21.49,20.29,21.38,1053890,112.25,112.39,111.23,111.68,13496616,9.8,10.63,9.7,10.13,44020496,0.83,0.84,0.82,0.835,75355,156.15,158.0571,153.96,156.51,7948464,43.09,43.25,42.85,42.89,17692184,282.0,284.0,270.1,276.64,17966785
174.67,175.49,173.94,174.51,17535168,1695.97,1697.75,1668.28,1669.16,3715728,157.13,160.25,156.278,156.76,6661531,21.4,22.05,20.0604,20.63,1022280,111.87,112.66,111.43,111.74,15184072,8.26,8.72,8.0,8.0,67292198,0.83,0.85,0.8101,0.8313,179334,156.16,156.5,151.94,152.04,8905437,42.82,42.87,41.62,41.87,17832163,276.54,281.5058,274.39,276.23,10154076
174.02,174.44,172.02,172.47,20110131,1667.06,1669.7534,1620.51,1626.28,4213562,156.09,157.59,154.81,155.54,5721039,20.42,21.155,19.6115,20.58,995894,111.4,111.55,109.865,110.38,18259392,7.81,7.95,7.0,7.0899,50920543,0.8354,0.8445,0.8,0.82,276275,151.1,151.49,147.4001,149.25,10531043,41.86,41.8919,41.25,41.4,21094241,278.84,284.7,274.25,276.6,8865853
