#,Company,Symbol,Weight,Price,Chg,% Chg
151,Exelon Corporation,EXC,0.134032,42.57,-0.08,(-0.19%)
152,Baxter International Inc.,BAX,0.132991,80.86,-0.18,(-0.22%)
153,IDEXX Laboratories Inc.,IDXX,0.131693,487,9.2,-1.93%
154,Electronic Arts Inc.,EA,0.130929,142.62,2.77,-1.98%
155,KLA Corporation,KLAC,0.130905,262.15,2.47,-0.95%
156,L3Harris Technologies Inc,LHX,0.130359,187.21,1.5,-0.81%
157,Dow Inc.,DOW,0.129095,55.66,1.83,-3.40%
158,Biogen Inc.,BIIB,0.128443,249,-1.24,(-0.50%)
159,Chipotle Mexican Grill Inc.,CMG,0.127766,"1,418.57",8.89,-0.63%
160,Amphenol Corporation Class A,APH,0.127028,130.65,-1.52,(-1.15%)
161,TE Connectivity Ltd.,TEL,0.124299,117.49,1.33,-1.14%
162,Sempra Energy,SRE,0.123541,130.7,-1.04,(-0.79%)
163,Sysco Corporation,SYY,0.122757,72.28,-2.16,(-2.90%)
164,Synopsys Inc.,SNPS,0.122723,255,4.71,-1.88%
165,Align Technology Inc.,ALGN,0.122463,529.92,3.2,-0.61%
166,Xilinx Inc.,XLNX,0.12007,149.8,-2.06,(-1.36%)
167,Agilent Technologies Inc.,A,0.119286,119.3,0.33,-0.28%
168,MSCI Inc. Class A,MSCI,0.118458,443.06,6.28,-1.44%
169,Constellation Brands Inc. Class A,STZ,0.117813,218.68,0.88,-0.40%
170,General Mills Inc.,GIS,0.117131,59.4,-0.3,(-0.50%)
171,Digital Realty Trust Inc.,DLR,0.116846,134.02,0.09,-0.07%
172,Centene Corporation,CNC,0.116844,61.15,-0.94,(-1.51%)
173,MetLife Inc.,MET,0.116283,45.65,-0.84,(-1.81%)
174,Freeport-McMoRan Inc.,FCX,0.116048,24.63,-0.09,(-0.36%)
175,Cadence Design Systems Inc.,CDNS,0.115449,132.44,5.14,-4.04%
176,Public Storage,PSA,0.11468,228.93,-3.63,(-1.56%)
177,Ford Motor Company,F,0.114624,8.95,-0.13,(-1.43%)
178,Microchip Technology Incorporated,MCHP,0.114348,138.31,-1.41,(-1.01%)
179,General Dynamics Corporation,GD,0.114171,152.67,1.08,-0.71%
180,eBay Inc.,EBAY,0.113923,53.23,0.18,-0.34%
181,Xcel Energy Inc.,XEL,0.11355,65.69,-1.32,(-1.97%)
182,Parker-Hannifin Corporation,PH,0.113457,272,-1.3,(-0.48%)
183,Travelers Companies Inc.,TRV,0.113456,138.86,0.83,-0.60%
184,Johnson Controls International plc,JCI,0.112368,46.24,-0.21,(-0.45%)
185,Marriott International Inc. Class A,MAR,0.112332,130,-0.29,(-0.22%)
186,Alexion Pharmaceuticals Inc.,ALXN,0.112206,156.75,-1.18,(-0.75%)
187,T. Rowe Price Group,TROW,0.111293,150.44,-0.86,(-0.57%)
188,DexCom Inc.,DXCM,0.111038,358.57,0.66,-0.18%
189,IQVIA Holdings Inc,IQV,0.110965,180.39,1.44,-0.80%
190,PPG Industries Inc.,PPG,0.110247,145.43,1.14,-0.79%
191,Trane Technologies plc,TT,0.109504,141.06,0.09,-0.06%
192,Aptiv PLC,APTV,0.10934,124.3,-0.59,(-0.47%)
193,O'Reilly Automotive Inc.,ORLY,0.108441,449,-2.83,(-0.63%)
194,Monster Beverage Corporation,MNST,0.107885,90.6,0.46,-0.51%
195,Allstate Corporation,ALL,0.107884,107.4,0.84,-0.79%
196,HP Inc.,HPQ,0.107849,24.46,0.24,-0.99%
197,Cummins Inc.,CMI,0.107183,224.31,0.88,-0.39%
198,American International Group Inc.,AIG,0.106722,37.48,-0.75,(-1.96%)
199,Yum! Brands Inc.,YUM,0.106357,109.78,0.99,-0.91%
200,Verisk Analytics Inc,VRSK,0.106243,204.47,3.23,-1.61%
201,Bank of New York Mellon Corporation,BK,0.106108,40.79,0.38,-0.94%
202,IHS Markit Ltd.,INFO,0.106034,87.98,0.3,-0.34%
203,TransDigm Group Incorporated,TDG,0.105099,608.33,9.98,-1.67%
204,Schlumberger NV,SLB,0.102641,22.31,-0.62,(-2.70%)
205,SBA Communications Corp. Class A,SBAC,0.102309,276.93,-5.11,(-1.81%)
206,Carrier Global Corp.,CARR,0.101898,38.79,0.09,-0.23%
207,Zimmer Biomet Holdings Inc.,ZBH,0.100951,151.85,0.49,-0.32%
208,Prudential Financial Inc.,PRU,0.099458,76.51,-1.15,(-1.48%)
209,Cintas Corporation,CTAS,0.099234,354.5,2.5,-0.71%
